Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval),,
World,OWID_WRL,1850,-0.05541366,-0.22695872,0.11613145,,0.34309017
World,OWID_WRL,1851,0.12894794,-0.04957017,0.30746606,,0.35703623
World,OWID_WRL,1852,0.13289867,-0.047084685,0.31288204,,0.359966725
World,OWID_WRL,1853,0.0919433,-0.067711584,0.2515982,,0.319309784
World,OWID_WRL,1854,0.07077692,-0.07041376,0.21196756,,0.28238132
World,OWID_WRL,1855,0.065381,-0.077021025,0.207783,,0.284804025
World,OWID_WRL,1856,0.04194403,-0.105795465,0.18968354,,0.295479005
World,OWID_WRL,1857,-0.1049323,-0.25402442,0.044159804,,0.298184224
World,OWID_WRL,1858,-0.026467945,-0.1745883,0.12165243,,0.29624073
World,OWID_WRL,1859,0.08103258,-0.061623093,0.22368824,,0.285311333
World,OWID_WRL,1860,-0.027867433,-0.17667887,0.120944,,0.29762287
World,OWID_WRL,1861,-0.06681519,-0.23470327,0.101072915,,0.335776185
World,OWID_WRL,1862,-0.17407164,-0.3413622,-0.006781038,,0.334581162
World,OWID_WRL,1863,0.018053684,-0.17173901,0.20784633,,0.37958534
World,OWID_WRL,1864,-0.10316732,-0.2857953,0.07946063,,0.36525593
World,OWID_WRL,1865,0.029816423,-0.16215917,0.22179197,,0.38395114
World,OWID_WRL,1866,0.021010254,-0.15950313,0.2015236,,0.36102673
World,OWID_WRL,1867,0.005303625,-0.19072548,0.2013327,,0.39205818
World,OWID_WRL,1868,0.010470603,-0.16718099,0.18812214,,0.35530313
World,OWID_WRL,1869,0.0457058,-0.1141656,0.20557718,,0.31974278
World,OWID_WRL,1870,0.034370217,-0.106401704,0.17514217,,0.281543874
World,OWID_WRL,1871,-0.006265011,-0.15183541,0.1393054,,0.29114081
World,OWID_WRL,1872,0.03418717,-0.10087227,0.1692466,,0.27011887
World,OWID_WRL,1873,0.021000836,-0.110203885,0.15220557,,0.262409455
World,OWID_WRL,1874,-0.010953452,-0.14484486,0.122937955,,0.267782815
World,OWID_WRL,1875,-0.013328191,-0.15174326,0.12508689,,0.27683015
World,OWID_WRL,1876,-0.06181216,-0.20057341,0.07694907,,0.27752248
World,OWID_WRL,1877,0.2611889,0.13247773,0.3899001,,0.25742237
World,OWID_WRL,1878,0.35098255,0.23108517,0.47087994,,0.23979477
World,OWID_WRL,1879,0.05866343,-0.07176661,0.18909344,,0.26086005
World,OWID_WRL,1880,0.0464657,-0.077853166,0.17078453,,0.248637696
World,OWID_WRL,1881,0.13005222,0.004362766,0.2557417,,0.251378934
World,OWID_WRL,1882,0.06676767,-0.057852354,0.19138768,,0.249240034
